cell_size_m,210.099
rows,216,cols,34
,,,,15.272,13.845,10.315,14.433,15.583,14.796,0.223,-4.493,-10.216,-8.663,-9.214,-3.209,-0.955,-2.5,-5.967,-5.758,-5.332,-6.015,,,,,,,,,,,,
,,,,11.61,10.246,9.205,10.396,12.201,4.05,0.542,-14.436,-12.701,-9.474,-6.421,-4.879,-4.153,-5.268,-3.468,-7.762,-9.862,-10.453,,,,,,,,,,,,
,,,,5.713,2.576,15.028,12.842,8.065,-8.059,-9.884,-12.546,-15.051,-11.502,-12.573,-7.289,-5.588,-5.849,-4.073,-7.298,-0.911,-0.501,,,,,,,,,,,,
,,,,3.454,6.072,14.017,12.589,2.609,-11.273,-9.715,-12.556,-12.028,-10.997,-7.455,-7.135,-5.455,-3.434,-2.662,0.563,1.36,2.969,,,,,,,,,,,,
,,,,7.138,7.746,10.185,2.741,-6.516,-17.802,-10.214,-9.727,-8.598,-7.775,-3.229,-3.096,-7.961,-4.529,-4.342,-1.205,-4.296,1.712,,,,,,,,,,,,
,,,,5.893,5.635,2.02,-9.044,-11.264,-10.652,-5.755,-4.068,-7.944,-9.277,-5.897,-9.014,-11.054,-5.513,-0.134,-0.738,-0.148,7.183,,,,,,,,,,,,
,,,,4.468,4.904,-2.586,-13.799,-9.776,-8.615,-2.914,-5.569,-7.866,-12.135,-8.657,-12.347,-11.871,-4.74,-3.617,3.055,4.459,3.841,,,,,,,,,,,,
,,,,3.152,2.849,-2.387,-13.783,-6.503,-2.808,-3.91,-7.131,-9.305,-11.877,-13.542,-14.395,-11.464,-4.564,1.945,2.699,3.914,4.357,5.718,,,,,,,,,,,
,,,,-2.953,-8.367,-8.303,-11.613,-7.91,-10.682,-13.191,-14.455,-14.049,-17.357,-15.116,-9.283,-9.238,-3.964,0.961,3.701,4.322,4.685,1.253,,,,,,,,,,,
,,,,,-5.199,-7.061,-7.902,-10.699,-13.94,-16.305,-17.206,-23.587,-22.039,-15.185,-7.939,-2.135,1.73,7.234,9.674,6.552,7.674,6.645,,,,,,,,,,,
,,,,,-10.394,-10.198,-14.702,-16.027,-16.701,-22.864,-23.493,-22.243,-23.827,-13.849,-4.013,-2.027,4.839,9.029,6.404,3.983,0.417,-14.416,,,,,,,,,,,
,,,,,-7.033,-11.396,-15.536,-15.455,-16.476,-17.649,-19.646,-15.852,-15.821,-8.448,-0.724,-2.56,3.482,6.47,5.104,0.627,-1.619,-1.805,,,,,,,,,,,
,,,1078.628,,-7.895,-7.497,-2.772,-8.68,-12.834,-15.734,-17.464,-15.996,-10.114,-4.856,-4.182,-9.936,-2.835,2.373,-2.101,-4.558,-1.898,1.327,,,,,,,,,,,
,,,,,-6.474,-2.385,-1.081,-4.892,-6.293,-8.506,-12.536,-13.769,-14.729,-10.705,-14.986,-8.179,-5.733,0.167,-2.702,-1.979,0.036,3.449,,,,,,,,,,,
,,,,,-1.483,-3.511,-3.671,-2.111,-0.164,-3.708,-7.293,-10.745,-9.318,-7.989,-6.698,-2.774,-5.946,1.107,-1.432,-1.031,1.459,1.116,,,,,,,,,,,
,,,,,-0.886,-0.495,1.812,-1.299,-3.606,-1.138,-1.412,-4.302,-8.139,-6.859,-0.057,-4.741,-6.829,0.024,-1.924,-0.756,1.677,1.967,,,,,,,,,,,
,,,,,0.849,-3.519,-0.157,-3.834,-4.377,-0.004,-11.954,-13.347,-9.588,-2.882,3.522,-1.158,-3.461,1.653,-0.895,-0.121,1.294,-0.817,,,,,,,,,,,
,,,,,-4.092,-5.311,-3.046,-4.777,-6.62,-9.235,-16.049,-15.482,-13.419,-11.413,-12.136,-8.837,-6.924,-2.178,-1.761,-4.866,0.68,2.866,,,,,,,,,,,
