rank,lon,lat,diam_km,area_px,verdict,note
337,357.64057,8.4654,1.013,230,,
338,358.8742,8.48344,1.011,229,,
339,353.74285,8.04477,1.011,229,,
340,355.02321,8.65268,1.009,228,,
341,353.79872,8.6115,1.009,228,,
342,358.60086,12.5507,1.007,227,,
343,358.01741,11.46553,1.005,226,,
344,356.80856,8.91712,1.005,226,,
345,358.9671,12.87474,1.0,224,,
346,357.57536,11.11068,1.0,224,,
347,357.29193,10.81045,1.0,224,,
